ORIGIN_AIRPORT,DESTINATION_AIRPORT,DISTANCE,FLY_DATE,LATITUDE,LONGITUDE
DAB,ATL,366,1/05/2005,29.17992,-81.05806
PBI,ATL,545,1/01/2005,26.68316,-80.09559
SLC,MSP,991,1/06/2005,40.78839,-111.97777
SEA,MSP,1399,1/01/2005,47.44898,-122.30931
DAY,DFW,861,1/05/2005,39.90238,-84.21938
MSP,PHX,1276,1/06/2005,44.88055,-93.21692
LGA,PBI,1035,1/09/2005,40.77724,-73.87261
RSW,LGA,1080,1/07/2005,26.53617,-81.75517
MIA,LGA,1096,1/09/2005,25.79325,-80.29056
CLE,ATL,554,1/12/2005,41.41089,-81.8494
PBI,LGA,1035,1/04/2005,26.68316,-80.09559
JFK,SJU,1598,1/10/2005,40.63975,-73.77893
MKE,ATL,669,1/04/2005,42.94722,-87.89658
RDU,BOS,612,1/12/2005,35.87764,-78.78747
JFK,SFO,2586,1/12/2005,40.63975,-73.77893
FLL,LGA,1076,1/11/2005,26.07258,-80.15275
LAX,DTW,1979,1/06/2005,33.94254,-118.40807
LAS,JFK,2248,1/12/2005,36.08036,-115.15233
MSP,MIA,1501,1/10/2005,44.88055,-93.21692
MSP,RSW,1416,1/11/2005,44.88055,-93.21692
JFK,MCO,944,1/10/2005,40.63975,-73.77893
CLE,ORD,315,1/12/2005,41.41089,-81.8494
LFT,IAH,201,1/01/2005,30.20528,-91.98766
SHV,ATL,551,1/03/2005,32.44663,-93.8256
ROC,LGA,254,1/10/2005,43.11887,-77.67238
CID,MSP,220,1/09/2005,41.88459,-91.71087
PVD,ORD,849,1/09/2005,41.724,-71.42822
ORD,PHX,1440,1/10/2005,41.9796,-87.90446
CLE,RSW,1025,1/09/2005,41.41089,-81.8494
DEN,MCO,1546,1/08/2005,39.85841,-104.667
MCO,DEN,1546,1/11/2005,28.42889,-81.31603
DFW,DSM,624,1/05/2005,32.89595,-97.0372
GRK,DFW,134,1/02/2005,31.0649,-97.8278
PNS,DFW,604,1/10/2005,30.47331,-87.18744
GJT,DFW,773,1/09/2005,39.12241,-108.52673
HPN,ORD,738,1/11/2005,41.06696,-73.70757
BMI,DFW,690,1/08/2005,40.47799,-88.91595
DFW,MAF,309,1/08/2005,32.89595,-97.0372
ATL,FLL,581,1/03/2005,33.64044,-84.42694
ACY,FLL,977,1/03/2005,39.45758,-74.57717
LBE,RSW,956,1/03/2005,40.27594,-79.4048
IAH,LAS,1222,1/06/2005,29.98047,-95.33972
FLL,MCO,177,1/02/2005,26.07258,-80.15275
FLL,BOS,1237,1/01/2005,26.07258,-80.15275
ASE,DEN,125,1/04/2005,39.22316,-106.86885
BUR,SFO,326,1/04/2005,34.20062,-118.3585
SAN,SLC,626,1/07/2005,32.73356,-117.18966
KOA,HNL,163,1/09/2005,19.73877,-156.04563
SEA,PDX,129,1/08/2005,47.44898,-122.30931
RKS,DEN,260,1/10/2005,41.59422,-109.06519
SBA,SFO,262,1/04/2005,34.42621,-119.84037
BOI,ORD,1437,1/12/2005,43.56444,-116.22278
CPR,SLC,320,1/03/2005,42.90836,-106.46447
COS,DEN,73,1/03/2005,38.80581,-104.70025
ORD,DEN,888,1/01/2005,41.9796,-87.90446
PHX,ORD,1440,1/05/2005,33.43417,-112.00806
MSY,IAH,305,1/02/2005,29.99339,-90.25803
CLE,RSW,1025,1/11/2005,41.41089,-81.8494
MIA,TPA,204,1/07/2005,25.79325,-80.29056
BTR,IAH,253,1/06/2005,30.53316,-91.14963
BTV,ORD,763,1/09/2005,44.473,-73.15031
FLL,BWI,925,1/08/2005,26.07258,-80.15275
SFO,BOI,522,1/10/2005,37.619,-122.37484
ORD,SFO,1846,1/11/2005,41.9796,-87.90446
SFO,JFK,2586,1/06/2005,37.619,-122.37484
BDL,FLL,1173,1/07/2005,41.93887,-72.68323
BWI,FLL,925,1/03/2005,39.1754,-76.6682
CMH,TPA,829,1/12/2005,39.99799,-82.89188
DAL,BWI,1209,1/02/2005,32.84711,-96.85177
DAL,STL,546,1/05/2005,32.84711,-96.85177
FLL,BWI,925,1/04/2005,26.07258,-80.15275
MCO,LAS,2039,1/08/2005,28.42889,-81.31603
