ORIGIN_AIRPORT,DESTINATION_AIRPORT,DISTANCE,FLY_DATE,LATITUDE,LONGITUDE
DFW,SHV,190,1/11/2007,32.89595,-97.0372
DFW,TYS,772,1/02/2007,32.89595,-97.0372
COU,ORD,315,1/11/2007,38.81809,-92.21963
FLL,DFW,1119,1/11/2007,26.07258,-80.15275
FLL,DTW,1127,1/11/2007,26.07258,-80.15275
ACY,MCO,852,1/10/2007,39.45758,-74.57717
RDM,LAX,726,1/10/2007,44.25407,-121.14996
HLN,SLC,402,1/04/2007,46.60682,-111.98275
OKC,SLC,866,1/05/2007,35.39309,-97.60073
SFO,SMF,86,1/05/2007,37.619,-122.37484
MSP,SFO,1589,1/12/2007,44.88055,-93.21692
DFW,SFO,1464,1/12/2007,32.89595,-97.0372
SLC,DEN,391,1/07/2007,40.78839,-111.97777
